driver_name,GW_MicroServo_001,,,,,,
vendor_id,0x00000616,,,,,,
product_code,0x00001420,,,,,,
revision_num,0x00000100,,,,,,
sto1_code,0,,,,,,
sto2_code,0,,,,,,
driver_break_code,0,,,,,,
SDO1,P2.00,Speed gain,0x2200,1,2147483647,0,FALSE
errorcode,2402,errormsg,Profibus-DP故障-PWK参数只读,solution,,,
errorcode,2403,errormsg,Profibus-DP故障-PZD配置参数不存在,solution,,,
errorcode,2404,errormsg,Profibus-DP故障-PZD配置参数属性不匹配,solution,,,
errorcode,2408,errormsg,EtherCAT故障-通信卡初始化故障,solution,,,
errorcode,2409,errormsg,EtherCAT故障-通信卡EEPROM故障,solution,,,
errorcode,2410,errormsg,EtherCAT故障-DC Sync0信号异常,solution,,,
errorcode,2411,errormsg,EtherCAT故障-断线故障,solution,,,
errorcode,2412,errormsg,EtherCAT故障-PDO数据丢失故障,solution,,,
errorcode,2500,errormsg,应用故障-增量编码器上电处理超时,solution,,,
errorcode,2501,errormsg,应用故障-增量编码器上电处理失败,solution,,,
errorcode,2502,errormsg,应用故障-系统相序测试超时,solution,,,
errorcode,2503,errormsg,应用故障-系统相序测试失败,solution,,,
errorcode,2504,errormsg,应用故障-编码器偏置角度测试超时,solution,,,
errorcode,2505,errormsg,应用故障-编码器偏置角度测试失败,solution,,,
errorcode,2506,errormsg,应用故障-回原点越位,solution,,,
errorcode,2507,errormsg,应用故障-惯量辨识失败,solution,,,
errorcode,2508,errormsg,应用故障-磁极检测失败,solution,,,
errorcode,2509,errormsg,应用故障-磁极检测确认过程中超程或过速,solution,,,
errorcode,2510,errormsg,应用故障-磁极检测超出范围,solution,,,
errorcode,2600,errormsg,CANopen故障-SDO超时,solution,,,
errorcode,2601,errormsg,CANopen故障-SDO索引不存在,solution,,,
errorcode,2602,errormsg,CANopen故障-SDO子索引不存在,solution,,,
errorcode,2603,errormsg,CANopen故障-SDO数据长度错误,solution,,,
errorcode,2604,errormsg,CANopen故障-SDO写数据超出范围,solution,,,
errorcode,2605,errormsg,CANopen故障-只读不能修改,solution,,,
